step,recon_mse,recon_l1,psnr,ssim
2500,0.02054520510137081,0.10507512092590332,22.893497467041016,0.7860593795776367
5000,0.015180341899394989,0.08913686126470566,24.20778465270996,0.8187119364738464
7500,0.012965766713023186,0.08421456813812256,24.89261817932129,0.8420298099517822
10000,0.013341233134269714,0.08462674915790558,24.768638610839844,0.8529958128929138
12500,0.011227979324758053,0.07568293064832687,25.51758575439453,0.8575822114944458
15000,0.05638412758708,0.1728615015745163,18.509031295776367,0.509075403213501
17500,0.02503792569041252,0.11237170547246933,22.034616470336914,0.7387024760246277
20000,0.052829302847385406,0.16477522253990173,18.791851043701172,0.5435549020767212
22500,0.0071268933825194836,0.0609646700322628,27.49159812927246,0.8866432905197144
25000,0.05284016579389572,0.16370666027069092,18.790958404541016,0.5542924404144287
27500,0.04949519783258438,0.16588303446769714,19.074970245361328,0.6677765250205994
30000,0.021312009543180466,0.10986065864562988,22.734355926513672,0.8464215993881226
